,name,place_id,rating,user_ratings_total,lat_g,lng_g
598,Ireland's Pub 10,ChIJ-5lVO37RD4gR7ZvvbMEt-7k,0,0,42.0003068,-87.6599574
208,Windy City Taproom,ChIJEYrYIKIxDogRi6TCKkbRxOY,1.7,85,41.7879225,-87.74423689999999
21,Midway Pour House,ChIJZRP51QUxDogRYx9cpwczdYY,1.9,90,41.7860686,-87.7418982
843,Goose Island Beer Co.,ChIJ_zYsNUO1D4gRNdn9rssOkzc,2.6,9,41.977076,-87.9072051
178,Facades Bar,ChIJ4-t8fCy0D4gRRcBgDTUn83Y,2.8,37,41.9743675,-87.8969762
837,Stanley's Kitchen & Tap,ChIJo-5yfia0D4gRepHDglCeA0o,2.8,444,41.9751738,-87.9064726
213,Sound Bar,ChIJ0Roy97QsDogRDDM-rGKnnQw,3.1,736,41.8934418,-87.6353769
804,La Cueva,ChIJXZgqPKQzDogR5wmFYv0E2V8,3.2,17,41.8440636,-87.72913190000001
748,Beaudevin,ChIJp2wsLse1D4gRS-lxHfX__cg,3.2,5,41.9783893,-87.910249
612,Bridges Lobby Grill at London House,ChIJCwWLVqstDogRGNMdhW-0718,3.2,25,41.8877823,-87.6254264
80,United Club near gate B6,ChIJ9YdpefW1D4gRBje3uIC5Dow,3.2,48,41.9780471,-87.9068826
599,Esco Bar,ChIJo9ZfQcUsDogRoxpG13rrIYc,3.3,158,41.8846651,-87.6472976
587,Chicago News Room,ChIJ3ZNSEccsDogR_E4-AasYvn0,3.3,24,41.8823072,-87.6403847
833,The Closet,ChIJmyBxiqTTD4gRv9pK-HdCjXg,3.3,91,41.94267139999999,-87.64436189999999
861,Wrigley Rooftops,ChIJ96_QzLPTD4gRUFIpFqZi9Tk,3.4,72,41.947744,-87.65400430000001
476,Bounce Sporting Club,ChIJP_F66UrTD4gRrq4LGJo75bA,3.4,432,41.8967085,-87.6368001
863,Wrigley Rooftops,ChIJ96_QzLPTD4gRUFIpFqZi9Tk,3.4,72,41.947744,-87.65400430000001
234,The Dugout Bar,ChIJG1IJI_HTD4gRzzeCdQ243nA,3.4,301,41.9473973,-87.6539586
4,Room 13,ChIJXVG83NnTD4gRPmcf8MybJ7g,3.4,23,41.940645,-87.65438549999999
69,Progress Bar Chicago,ChIJG5QQl6_TD4gR7mE7SbAbjPY,3.4,140,41.94351570000001,-87.649223
860,Wrigley Rooftops,ChIJ96_QzLPTD4gRUFIpFqZi9Tk,3.4,72,41.947744,-87.65400430000001
603,Margaritaville - Chicago,ChIJ2y7xkU0rDogR5qOTZYZF-PM,3.5,967,41.8913811,-87.608249
902,Splash Chicago,ChIJJaZPAIHTD4gRsuC6-4n70IE,3.5,54,41.9429115,-87.6492171
307,Big City Tap,ChIJi7MxjKvTD4gR9wzX9tnK37I,3.6,289,41.9400037,-87.65452979999999
122,B G's Lounge,ChIJB9GoypzLD4gRrkFdPIaGI_M,3.6,62,41.9418997,-87.7864085
100,Parlay at Joy District,ChIJ0ZI92SwtDogRTzlRtsJTI70,3.6,17,41.8902353,-87.6317849
548,Santa Baby Bar,ChIJO-1UZaLTD4gR0AThKzMhOQk,3.6,337,41.9458136,-87.65524119999999
851,Patron Mexican Grill,ChIJwbwQsMM2DogRJRK3WQXz_qg,3.6,495,41.792255,-87.7929699
305,Utopian Tailgate,ChIJsRWHz9rTD4gROTiwF_24NW0,3.7,566,41.9114253,-87.6349291
120,Harry Caray's Shortstop,ChIJtVU9cqExDogR4bPvRo3Q9Fc,3.7,54,41.7854351,-87.7428876
624,Connect to Chicago,ChIJdTMmHya0D4gRqnr-jLCQ8Ho,3.7,49,41.97687639999999,-87.90472290000001
176,Hydrate Nightclub,ChIJcVd84K_TD4gR61CvEhs_VHE,3.7,188,41.9453701,-87.6496095
623,Woven + Bound Restaurant,ChIJUeS4pn8sDogRen-AzaehqYI,3.8,172,41.8536539,-87.6197163
490,Watra Night Club,ChIJ8wetvpExDogRxZQknXeppEc,3.8,65,41.8062492,-87.723744
239,Mc Nally's,ChIJrSQ3Q9wkDogRnNG3UnC446k,3.8,191,41.690715,-87.68133209999999
400,"Harry Caray's Tavern, Navy Pier",ChIJ2y7xkU0rDogRDXFwy2wzMeQ,3.8,1175,41.891486,-87.609304
613,720 South Bar & Grill,ChIJO2ZfH5ksDogR2vbpqF23xRs,3.8,59,41.8730189,-87.6245368
383,Mission Control Arcade Bar,ChIJRYBByobRD4gRBH7IQzZEGx0,3.8,142,42.0081344,-87.66637140000002
371,Chicago By Night,ChIJq7UYSn3MD4gRkhFbS9Jaric,3.8,120,41.938875,-87.76678290000001
15,Little Olive Lounge,ChIJZ8ibnArTD4gRJtnw5Ik9hnc,3.8,64,41.9094085,-87.67621059999999
335,The Boss Bar,ChIJ4bSte7EsDogR4t3a6GtFy4Q,3.8,1243,41.8898994,-87.6312777
820,Goose Island,ChIJodwjryu0D4gRH4A_jBIEPWU,3.8,1049,41.97681499999999,-87.8970683
573,Maddanthony's Bar & Grill,ChIJ1bvwEfAxDogR9dM3_-OpqyY,3.8,17,41.8082917,-87.7081415
56,J & A Sports Bar,ChIJH3bNuYXMD4gRYxAhwVFOQm0,3.9,48,41.9313493,-87.768298
937,Martini Bar,ChIJgcceHFTTD4gRrvf57TePx58,3.9,61,41.8999124,-87.6224862
405,Snickers Bar & Grill,ChIJ-XQv-q0sDogRxM3jDNmGbfk,3.9,1206,41.8907529,-87.628197
273,Bluelight,ChIJi3umq3zSD4gRqDqVKbqhfME,3.9,338,41.94095790000001,-87.687896
267,Jeffery Pub,ChIJT-EgElcoDogR9yTTuYIFrkM,3.9,277,41.7667524,-87.5761479
235,Apartment Lounge,ChIJe7AlZY0xDogRnX7vsXlwjbg,3.9,50,41.8080416,-87.7190234
521,COLUMBUS TAP,ChIJn1T4iagsDogRpiYH_22ZYKY,3.9,335,41.8861637,-87.621083
310,Monsen's Tally-Ho Pub,ChIJzwVzxTXQD4gR3TJN5YJzFLU,3.9,89,42.0193361,-87.6796478
507,Smartbar,ChIJ985ApUzSD4gRu50SYxTyrxE,3.9,378,41.9497764,-87.6587553
605,Offshore Rooftop,ChIJ6dLXoqIrDogRtMtzUVKt-Cw,3.9,1318,41.8918435,-87.60017169999999
816,Bar Louie - O'Hare,ChIJ85DR3PTJD4gRzB6cHXSrsHg,3.9,841,41.9819597,-87.83568420000002
808,Touché,ChIJnwLkWrzRD4gREreJ-KlTEoU,3.9,87,41.9985703,-87.6709983
