,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons)
0,1859,31st Street Landfill,IL,11700 West 31st Street,Westchester,Cook,60154.0,41.83894,-87.91497,1960.0,1982.0,Closed,9582454.0
1,500,ADS/McLean County LF #2,IL,2105 W. Oakland Avenue,Bloomington,McLean,61704.0,40.472866,-89.037718,1990.0,2018.0,Closed,2626797.0
2,503,Alton Municipal Landfill,IL,4550 N. Alby Street,Godfrey,Madison,62035.0,38.928,-90.179,1976.0,1992.0,Closed,660557.0
3,1858,American Grading Company,IL,5100 Lawndale Avenue,McCook,Cook,60525.0,41.7994783,-87.8239651,1954.0,1995.0,Closed,7000000.0
4,521,Beecher Landfill,IL,1055 W. Goodenow Road,Beecher,Will,60401.0,41.3915,-87.6388,1972.0,1996.0,Closed,4613270.0
7,1856,Belleville Sanitary LF,IL,2381 Park Road,Belleville,St. Clair,62220.0,38.48359,-90.011824,1974.0,1993.0,Closed,2343402.0
8,1861,Bloomington LF,IL,W. Oakland Avenue,Bloomington,McLean,61704.0,40.465,-89.036,1964.0,1990.0,Closed,1000000.0
10,470,Bond County LF,IL,825 Willard Street,Greenville,Bond,62246.0,38.88497,-89.42086,1997.0,2010.0,Closed,1581904.0
11,1864,Brickyard Disposal & Recycling Inc.,IL,601 East Brickyard Road,Danville,Vermilion,61832.0,40.09966,-87.6163,1972.0,2043.0,Open,11499994.0
15,522,CDT LF,IL,2851 Mound Road,Rockdale,Will,60436.0,41.500371,-88.144914,1984.0,2000.0,Closed,1596000.0
16,504,Chain of Rocks RDF,IL,3399 W. Chain of Rocks Road,Granite City,Madison,62040.0,38.76235,-90.12949,1973.0,2004.0,Closed,5965128.0
17,474,CID Recycling and Disposal Facility,IL,13707 S. Jeffery Avenue,Chicago,Cook,60633.0,41.655,-87.578,1966.0,2007.0,Closed,31065972.0
20,481,Clinton Landfill Inc.,IL,9550 Heritage Road,Clinton,De Witt,61727.0,40.114,-88.958,1970.0,2060.0,Open,9460052.0
21,472,Coles County Landfill,IL,6351 West State Street,Charleston,Coles,61920.0,39.509,-88.267,1979.0,2009.0,Closed,2284442.0
22,1862,Congress Development Company LF,IL,4100 W. Frontage Road,Hillside,Cook,60162.0,41.8721,-87.8885,1980.0,2008.0,Closed,8861616.0
23,2306,Cottonwood Hills LF,IL,10400 Hillstown Road,Marissa,St. Clair,62257.0,38.26,-89.78,2000.0,2085.0,Open,8512831.0
24,495,Countryside LF,IL,31725 N. Route 83,Grayslake,Lake,60030.0,42.32424,-88.0289,1978.0,2026.0,Open,16947375.0
