,PARK,name,place_id,rating,user_ratings_total,num_results,address,exists on ChicagoPark District?,other notes
0,MCGUANE (JOHN),McGuane (John) Park,ChIJabfBA0YsDogRaZz7dURkFhc,4.5,583.0,1.0,,,
1,ARMOUR (PHILIP) SQUARE,Armour (Philip) Square Park,ChIJmaLdhRQsDogRuLEiq-h3d6A,4.5,232.0,1.0,,,
2,FULLER (MELVILLE),Fuller (Melville) Park,ChIJhRHtP6EuDogRVO-1m6WWor4,4.5,96.0,1.0,,,
3,CORNELL (PAUL) SQUARE,Cornell Square Park,ChIJt_oR0W4uDogRQKuKC4cufWc,4.0,273.0,1.0,,,
4,RUSSELL (MARTIN) SQUARE,Russell Square Park Pool (Outdoor),ChIJZ4GNXQUoDogR9yd21CinxDc,3.8,80.0,1.0,,,
5,SHERMAN (JOHN),Sherman Park,ChIJUfKcsYouDogR0P6mNFHkYpk,4.2,536.0,1.0,,,
6,DAVIS (DR. NATHAN) SQUARE,Davis (Dr. Nathan) Square Park,ChIJS6Vh3HkuDogRuIWBCrR-Vb4,4.2,299.0,1.0,,,
7,OGDEN (WILLIAM),Ogden (William) Park,ChIJtTg9QgAvDogRIySxatIP6ZU,4.1,594.0,1.0,,,
8,HAMILTON (ALEXANDER),Hamilton Park,ChIJ7XuKkT0vDogR_yXpbXN2HwU,4.2,354.0,1.0,,,
9,CALUMET,Calumet Park,ChIJ3YAIgQ3YEYgR5yqJxPzES7E,4.4,1552.0,1.0,,,
10,WASHINGTON (GEORGE),Washington (George) Park,ChIJ60MasjUpDogRTog3uQ48ISc,4.4,3240.0,1.0,,,
11,NINEBARK,Ninebark Playground Park,ChIJE7Lm6vYyDogRieLyYMMXGrI,3.4,5.0,1.0,,,
12,MARQUETTE (JACQUES),Marquette (Jacques) Park,ChIJgxsfJDswDogRbyg1UxTvQFQ,4.2,1475.0,1.0,,,
13,BESSEMER (HENRY),Bessemer (Henry) Park,ChIJZ_Bz8eAnDogRHqWK-4nq2XU,4.0,263.0,1.0,,,
14,PALMER (POTTER),Palmer Park,ChIJwafU1oMmDogRh-M6INMb2zc,4.2,253.0,1.0,,,
15,CHOPIN (FREDERIC),Chopin (Frederic) Park,ChIJbXGAbWTMD4gRRozwFhwOmXA,4.4,350.0,1.0,,,
16,GRAND CROSSING,Grand Crossing Park,ChIJ-9b6jb8oDogRrf24C6nvWi4,4.2,196.0,1.0,,,
17,TRUMBULL (LYMAN),Trumbull (Lyman) Park,ChIJWwMkf7snDogRkluV6K_ihf0,4.2,58.0,1.0,,,
18,MANN (JAMES),Mann (James) Park,ChIJVTjFCk0nDogRZbDsNt-CMO8,4.4,292.0,1.0,,,
